1	Srovnání zad ženy před a po tréninku — pohled zezadu na postavení lopatek a páteře
2	Dvě fotografie zad ženy ve stoji, pohled zezadu, hodnocení držení těla
3	Logo ProSapiens Biomechanic — bílá silueta kráčející postavy na černém pozadí
4	Pečeť Univerzity Komenského v Bratislavě
5	Celý pomeranč vedle rozkrojené poloviny — bílé blány mezi dílky jako přirovnání k fascii
6	Ilustrace dvou buněk v řezu s organelami a jádrem
7	Obálka knihy Fascia Training: A Whole-System Approach
8	Plochá ilustrace: skupina lidí u anatomické tabule při přednášce
9	Srovnání kostry a myofasciálního obalu těla, popisky Kostný obal a Myofasciálny obal
10	Obálka knihy Rolfing od Idy P. Rolf
11	Srovnání postavy ženy z profilu před a po — postavení pánve a hrudníku
12	Výjev z renesanční malby s množstvím postav
13	Modrá silueta lidského těla na černém pozadí se světlejší horní částí
14	Schéma vzniku mezibuněčné hmoty: buňky, fibroblasty, extracelulární matrix a základní substance
15	Plochá ilustrace stavbařů s jeřábem na staveništi
16	Silueta lidského těla s orgány a kostrou, kolem ozubená kola
17	Fluorescenční mikroskopický snímek buněk — zelená vlákna, modrá jádra
18	Schéma mezibuněčné hmoty: fibroblast, elastické vlákno, kolagenové vlákno a glykosaminoglykan
19	Přehled typů kolagenu I, II, III a V–X a orgánů, ve kterých se vyskytují
20	Srovnání uvolněného zvlněného a strečovaného napřímeného kolagenového vlákna
21	Ilustrace buňky se svítícími vlákny vybíhajícími do okolí
22	Masáž ramen a šíje vleže na břiše
23	Mikroskopický snímek buněk s fialovými a modrými jádry
24	Mikroskopický snímek buněk se zeleným cytoskeletem a modrými jádry
25	Barevný histologický řez tkání
26	Žena v sedu protahuje zadní stranu nohou, trenér vzadu
27	Žena cvičí na posilovacím stroji
28	Schéma kolagenového vlákna a kolagenové molekuly
29	Silueta lidského těla s vyznačenými orgány v kroužcích
30	Přehled orgánových soustav člověka: vnitřní orgány, oběhová, nervová a kosterní soustava
31	Schéma stavby kosterního svalu od svalu přes myofibrilu až po aktin a myosin
32	Schéma toku mozkomíšního moku v hlavě a páteřním kanálu
33	Srovnání uvolněné svalové síťoviny a síťoviny se srůsty a uzly
34	Silueta těla se zvýrazněným srdcem a křivkou EKG
35	Koláčový graf klidového metabolického výdeje podle orgánů
36	Infografika příznaků metabolického syndromu
37	Žena trénuje s jednoručkou v tělocvičně
38	Ilustrace vlaku
39	Anatomická vizualizace ruky a předloktí s vyznačenými strukturami
40	Zeměkoule s vyznačeným nultým poledníkem
41	Anatomická postava přes starou rytinu
42	Portrét muže — autor konceptu Anatomické vlaky
43	Železniční točna s kolejemi
44	Příčný řez svalem s vyznačenou hlubokou fascií
